Day,Node,Demand
6,Melbourne,163.96300000000002
6,Sydney,177.717
7,APLNG,3777.55
7,Adelaide,32.314
7,Brisbane,123.907
7,Melbourne,187.58
7,Sydney,200.307
8,APLNG,3721.554
8,Adelaide,33.489999999999995
8,Brisbane,129.532
8,Melbourne,181.88
8,Sydney,204.817
9,APLNG,3805.282
9,Adelaide,33.881
9,Brisbane,129.227
9,Melbourne,184.278
9,Sydney,200.616
10,APLNG,3731.341
10,Adelaide,33.260000000000005
10,Brisbane,131.797
10,Melbourne,182.018
10,Sydney,209.66899999999998
11,APLNG,3763.145
11,Adelaide,28.864
11,Brisbane,123.911
11,Melbourne,179.954
11,Sydney,205.144
12,APLNG,3767.952
12,Adelaide,23.400000000000002
12,Brisbane,97.579
12,Melbourne,142.31
12,Sydney,184.135
13,APLNG,3751.055
13,Adelaide,24.086
13,Brisbane,104.561
13,Melbourne,142.577
13,Sydney,184.303
14,APLNG,3728.867
14,Adelaide,29.793
14,Brisbane,132.975
14,Melbourne,244.088
14,Sydney,206.113
15,APLNG,3529.5159999999996
15,Adelaide,30.338
15,Brisbane,131.001
15,Melbourne,250.885
15,Sydney,206.704
16,APLNG,3495.448
16,Adelaide,30.832
16,Brisbane,130.916
16,Melbourne,236.559
16,Sydney,201.945
17,APLNG,3537.551
17,Adelaide,31.118
17,Brisbane,132.448
17,Melbourne,268.486
17,Sydney,208.86
18,APLNG,3622.058
18,Adelaide,30.756
18,Brisbane,129.372
18,Melbourne,218.897
18,Sydney,205.839
19,APLNG,3711.695
19,Adelaide,23.731
19,Brisbane,100.452
19,Melbourne,146.146
19,Sydney,179.468
20,APLNG,3783.333
20,Adelaide,23.651
20,Brisbane,106.322
20,Melbourne,147.552
20,Sydney,190.289
21,APLNG,3764.626
21,Adelaide,31.525999999999996
21,Brisbane,134.605
21,Melbourne,260.78
21,Sydney,206.442
22,APLNG,3770.823
22,Adelaide,30.991999999999997
22,Brisbane,131.273
22,Melbourne,289.176
22,Sydney,204.311
23,APLNG,3712.764
23,Adelaide,29.594
23,Brisbane,125.262
23,Melbourne,266.089
23,Sydney,204.648
24,APLNG,3470.349
24,Adelaide,26.457
24,Brisbane,124.886
24,Melbourne,304.011
24,Sydney,208.28
25,APLNG,3397.914
25,Adelaide,29.595999999999997
25,Brisbane,120.329
25,Melbourne,292.193
25,Sydney,200.889
26,APLNG,3426.953
26,Adelaide,22.082
26,Brisbane,109.557
26,Melbourne,209.013
26,Sydney,173.065
27,APLNG,3455.331
27,Adelaide,22.203
27,Brisbane,109.068
27,Melbourne,159.794
27,Sydney,164.339
28,APLNG,3564.7030000000004
28,Adelaide,26.255
28,Brisbane,111.817
28,Melbourne,207.714
28,Sydney,188.14000000000001
29,APLNG,3659.509
29,Adelaide,33.28
29,Brisbane,129.607
29,Melbourne,280.299
29,Sydney,203.166
30,APLNG,3691.974
30,Adelaide,32.902
30,Brisbane,134.624
30,Melbourne,275.696
30,Sydney,206.813
31,APLNG,3614.969
31,Adelaide,35.04
31,Brisbane,130.268
