facilityname,facilityid,facilitytype,capacitytype,receiptlocation,ReceiptLocationName,deliverylocation,DeliveryLocationName,capacitydescription,flowdirection,capacityquantity,effectivedate,description,LastUpdated
RNMGP,640012,PIPE,MDQ,1490109,Mimas Gas Pipeline Receipt Point,1490111,Mimas Gas Pipeline Delivery to CRWP,Mimas to CRWP,NONE,54.000,24 Mar 2026 00:00:00,Maximum Capacity,2026/03/24 09:41:46
Bellevue,540083,PROD,MDQ,-1,,-1,,,NONE,254.000,25 Mar 2026 00:00:00,This capacity is the amount of gas that the Bellevue production facility is able to process.,2026/03/23 09:07:28
EO4PL,540055,PIPE,MDQ,1404246,Windibri Connection Point (E04),1404249,Kenya Connection Point (E04),This transmission capacity is the amount of gas that the E04 pipeline is able to receipt from Windbri Connection Point and deliver to Kenya Connection points.,NONE,147.000,25 Mar 2026 00:00:00,no change from previous,2026/03/23 09:07:28
EO4PL,540055,PIPE,MDQ,1404248,Kenya Connection Point (E04),1404247,Windibri Connection Point (E04),This transmission capacity is the amount of gas that the E04 pipeline is able to receipt from Kenya Connection Point and deliver to Windbri Connection points.,NONE,180.000,25 Mar 2026 00:00:00,no change from previous,2026/03/23 09:07:28
Jordan,540088,PROD,MDQ,-1,,-1,,,NONE,507.000,25 Mar 2026 00:00:00,This capacity is the amount of gas that the Jordan production facility is able to process.,2026/03/23 09:07:28
Kenya,540075,PROD,MDQ,-1,,-1,,,NONE,184.000,25 Mar 2026 00:00:00,This capacity is the amount of gas that the Kenya Gas Plant production facility is able to process.,2026/03/23 09:07:28
QCLNG LNG Plant,544272,LNGEXPORT,MDQ,-1,,-1,,,PROCESSED,1420.000,25 Mar 2026 00:00:00,The capacity is the  maximum quantity of natural gas that the QCLNG LNG export facility can process to a liquefied state on a gas day under normal operating conditions,2026/03/24 20:26:29
QCLNG LNG Plant,544272,LNGEXPORT,MDQ,-1,,-1,,,RECEIPT,1573.000,25 Mar 2026 00:00:00,The capacity is the maximum quantity of natural gas that the QCLNG LNG export facility  facility can receive from a pipeline on a gas day under normal operating conditions,2026/03/24 20:26:29
Ruby Jo,540082,PROD,MDQ,-1,,-1,,,NONE,507.000,25 Mar 2026 00:00:00,This capacity is the amount of gas that the Ruby Jo production facility is able to process.,2026/03/23 09:07:28
WGP,540091,PIPE,MDQ,1404143,Woleebee Creek,1404194,Curtis Island  - D,This transmission capacity is the amount of gas that the WGP is able to Store and deliver to Curtis Island,NONE,1598.000,25 Mar 2026 00:00:00,no change from previous,2026/03/23 09:07:28
